question,predicted_answer,ground_truth,context,graded_retrieved_doc_ids,relevant_doc_ids,latency_ms,success,error,mrr,ndcg_at_5,precision_at_5,recall_at_5,precision,recall,f1,exact_match,rouge_l_precision,rouge_l_recall,rouge_l_f1,bleu_1,bleu_2,bleu_3,bleu_4,bleu,brevity_penalty,faithfulness,timestamp,embedding_model_name,gen_model_name,q_id,difficulty,correctness,date_time
What depths were used for monitoring soil suction using the miniature tensiometer at the Boissy-le-Châtel site?,The miniature tensiometer was used at two depths of 25 cm and 45 cm during the monitoring period.,The miniature tensiometer was used to monitor in situ soil suction at two depths: 25 cm and 45 cm.,"Monitoring field soil suction using a miniature tensiometer 
Yu-Jun Cui,1 Anh-Minh Tang,2 Altin Theodore Mantho,2 Emmanuel De Laure2  
 
ABSTRACT: An experimental device was developed to monitor the f...","['group_1/0801.2308v1.pdf:0:0', 'group_1/0801.2308v1.pdf:7:0', 'group_1/0801.2308v1.pdf:2:0']","['group_1/0801.2308v1.pdf:0:0', 'group_1/0801.2308v1.pdf:7:0', 'group_1/0801.2308v1.pdf:2:0']",241487.9310131073,True,,1.0,1.0,0.6,1.0,0.7222222222222222,0.6842105263157895,0.7027027027027027,0.0,0.7222222222222222,0.6842105263157895,0.7027027027027027,0.8125,0.5882352941176471,0.4375,0.2666666666666666,0.4596770676847994,0.9459594689067654,0.9444444444444444,2025-06-09T01:34:37.238579,intfloat/multilingual-e5-large-instruct,llama3.2,0,med,True,2025-06-09 01:34:37
What depths were used for monitoring soil suction using the miniature tensiometer at the Boissy-le-Châtel site?,The miniature tensiometer was used at two depths of 25 cm and 45 cm during the monitoring period.,The miniature tensiometer was used to monitor in situ soil suction at two depths: 25 cm and 45 cm.,"Monitoring field soil suction using a miniature tensiometer 
Yu-Jun Cui,1 Anh-Minh Tang,2 Altin Theodore Mantho,2 Emmanuel De Laure2  
 
ABSTRACT: An experimental device was developed to monitor the f...","['group_1/0801.2308v1.pdf:0:0', 'group_1/0801.2308v1.pdf:7:0', 'group_1/0801.2308v1.pdf:2:0']","['group_1/0801.2308v1.pdf:0:0', 'group_1/0801.2308v1.pdf:7:0', 'group_1/0801.2308v1.pdf:2:0']",250995.88584899905,True,,1.0,1.0,0.6,1.0,0.7222222222222222,0.6842105263157895,0.7027027027027027,0.0,0.7222222222222222,0.6842105263157895,0.7027027027027027,0.8125,0.5882352941176471,0.4375,0.2666666666666666,0.4596770676847994,0.9459594689067654,0.9444444444444444,2025-06-13T19:38:00.136926,intfloat/multilingual-e5-large-instruct,llama3.2,0,med,True,2025-06-13 19:38:00
What depths were used for monitoring soil suction using the miniature tensiometer at the Boissy-le-Châtel site?,,The miniature tensiometer was used to monitor in situ soil suction at two depths: 25 cm and 45 cm.,,[],"['group_1/0801.2308v1.pdf:0:0', 'group_1/0801.2308v1.pdf:7:0', 'group_1/0801.2308v1.pdf:2:0']",0.2267360687255859,False,query_rag() got an unexpected keyword argument 'tfidf_db_dir',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2025-06-18T13:59:44.004599,intfloat/multilingual-e5-large-instruct,llama3.2,0,med,True,2025-06-18 13:59:44
What depths were used for monitoring soil suction using the miniature tensiometer at the Boissy-le-Châtel site?,,The miniature tensiometer was used to monitor in situ soil suction at two depths: 25 cm and 45 cm.,,[],"['group_1/0801.2308v1.pdf:0:0', 'group_1/0801.2308v1.pdf:7:0', 'group_1/0801.2308v1.pdf:2:0']",0.0,False,query_rag() got an unexpected keyword argument 'tfidf_db_dir',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2025-06-18T14:12:51.141047,intfloat/multilingual-e5-large-instruct,llama3.2,0,med,True,2025-06-18 14:12:51
What depths were used for monitoring soil suction using the miniature tensiometer at the Boissy-le-Châtel site?,,The miniature tensiometer was used to monitor in situ soil suction at two depths: 25 cm and 45 cm.,,[],"['group_1/0801.2308v1.pdf:0:0', 'group_1/0801.2308v1.pdf:7:0', 'group_1/0801.2308v1.pdf:2:0']",0.9996891021728516,False,query_rag() got an unexpected keyword argument 'tfidf_db_path',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2025-06-18T14:15:58.285850,intfloat/multilingual-e5-large-instruct,llama3.2,0,med,True,2025-06-18 14:15:58
What depths were used for monitoring soil suction using the miniature tensiometer at the Boissy-le-Châtel site?,The miniature tensiometer was used at two depths of 25 cm and 45 cm during the monitoring period.,The miniature tensiometer was used to monitor in situ soil suction at two depths: 25 cm and 45 cm.,"Monitoring field soil suction using a miniature tensiometer 
Yu-Jun Cui,1 Anh-Minh Tang,2 Altin Theodore Mantho,2 Emmanuel De Laure2  
 
ABSTRACT: An experimental device was developed to monitor the f...","['group_1/0801.2308v1.pdf:0:0', 'group_1/0801.2308v1.pdf:7:0', 'group_1/0801.2308v1.pdf:2:0']","['group_1/0801.2308v1.pdf:0:0', 'group_1/0801.2308v1.pdf:7:0', 'group_1/0801.2308v1.pdf:2:0']",254185.652256012,True,,1.0,1.0,0.6,1.0,0.7222222222222222,0.6842105263157895,0.7027027027027027,0.0,0.7222222222222222,0.6842105263157895,0.7027027027027027,0.8125,0.5882352941176471,0.4375,0.2666666666666666,0.4596770676847994,0.9459594689067654,0.9444444444444444,2025-06-18T14:20:55.085137,intfloat/multilingual-e5-large-instruct,llama3.2,0,med,True,2025-06-18 14:20:55
What depths were used for monitoring soil suction using the miniature tensiometer at the Boissy-le-Châtel site?,,The miniature tensiometer was used to monitor in situ soil suction at two depths: 25 cm and 45 cm.,,[],"['group_1/0801.2308v1.pdf:0:0', 'group_1/0801.2308v1.pdf:7:0', 'group_1/0801.2308v1.pdf:2:0']",9740.427255630491,False,'list' object has no attribute 'get',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2025-06-20T02:03:39.215863,intfloat/multilingual-e5-large-instruct,llama3.2,0,med,True,2025-06-20 02:03:39
What depths were used for monitoring soil suction using the miniature tensiometer at the Boissy-le-Châtel site?,,The miniature tensiometer was used to monitor in situ soil suction at two depths: 25 cm and 45 cm.,,[],"['group_1/0801.2308v1.pdf:0:0', 'group_1/0801.2308v1.pdf:7:0', 'group_1/0801.2308v1.pdf:2:0']",14290.404081344604,False,'list' object has no attribute 'get',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2025-06-20T02:31:22.893976,intfloat/multilingual-e5-large-instruct,llama3.2,0,med,True,2025-06-20 02:31:22
What depths were used for monitoring soil suction using the miniature tensiometer at the Boissy-le-Châtel site?,,The miniature tensiometer was used to monitor in situ soil suction at two depths: 25 cm and 45 cm.,,[],"['group_1/0801.2308v1.pdf:0:0', 'group_1/0801.2308v1.pdf:7:0', 'group_1/0801.2308v1.pdf:2:0']",9509.241580963137,False,'list' object has no attribute 'get',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2025-06-20T02:46:52.577173,intfloat/multilingual-e5-large-instruct,llama3.2,0,med,True,2025-06-20 02:46:52
What depths were used for monitoring soil suction using the miniature tensiometer at the Boissy-le-Châtel site?,,The miniature tensiometer was used to monitor in situ soil suction at two depths: 25 cm and 45 cm.,,[],"['group_1/0801.2308v1.pdf:0:0', 'group_1/0801.2308v1.pdf:7:0', 'group_1/0801.2308v1.pdf:2:0']",9047.35255241394,False,'list' object has no attribute 'get',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2025-06-20T02:49:44.440934,intfloat/multilingual-e5-large-instruct,llama3.2,0,med,True,2025-06-20 02:49:44
