filename,source,file_type,year,topic_keyword,url,scrape_status,category
2012-13-Spread-of-New-Varieties-of-Hybrid-Rice-and-their-impact-on-the-overall-production-and-productivity-in-West-Bengal.pdf,DAFW,PDF,Unknown,2012-13-Spread-of-New-Varieties-of-Hybrid-Rice-and,https://desagri.gov.in/wp-content/uploads/2024/03/2012-13-Spread-of-New-Varieties-of-Hybrid-Rice-and-their-impact-on-the-overall-production-and-productivity-in-West-Bengal.pdf,✅ (cached),pdfs
2013-14-Evaluation-of-Price-Support-and-Market-Intervention-Scheme-in-rajasthan-1.pdf,DAFW,PDF,Unknown,2013-14-Evaluation-of-Price-Support-and-Market-Int,https://desagri.gov.in/wp-content/uploads/2024/04/2013-14-Evaluation-of-Price-Support-and-Market-Intervention-Scheme-in-rajasthan-1.pdf,✅,pdfs
2013-14-Evaluation-of-Price-Support-and-Market-Intervention-Scheme-in-rajasthan.pdf,DAFW,PDF,Unknown,2013-14-Evaluation-of-Price-Support-and-Market-Int,https://desagri.gov.in/wp-content/uploads/2024/04/2013-14-Evaluation-of-Price-Support-and-Market-Intervention-Scheme-in-rajasthan.pdf,✅,pdfs
2013-14-Spread-of-New-Varieties-of-Hybrid-Rice-and-their-impact-on-the-overall-production-and-productivity.pdf,DAFW,PDF,Unknown,2013-14-Spread-of-New-Varieties-of-Hybrid-Rice-and,https://desagri.gov.in/wp-content/uploads/2024/03/2013-14-Spread-of-New-Varieties-of-Hybrid-Rice-and-their-impact-on-the-overall-production-and-productivity.pdf,✅ (cached),pdfs
2013_17-Evaluation-and-Assessment-of-Economic-Losses-for-Fisheries-Sector-in-Gujarat.pdf,DAFW,PDF,2013,2013 17-Evaluation-and-Assessment-of-Economic-Loss,https://desagri.gov.in/wp-content/uploads/2024/03/2013_17-Evaluation-and-Assessment-of-Economic-Losses-for-Fisheries-Sector-in-Gujarat.pdf,✅ (cached),pdfs
2014-15-Adoption-of-Recommended-Doses-of-Fertilisers-on-Soil-test-basis-by-Farmers-in-Gujarat.pdf,DAFW,PDF,Unknown,2014-15-Adoption-of-Recommended-Doses-of-Fertilise,https://desagri.gov.in/wp-content/uploads/2024/03/2014-15-Adoption-of-Recommended-Doses-of-Fertilisers-on-Soil-test-basis-by-Farmers-in-Gujarat.pdf,✅ (cached),pdfs
2014-15-Adoption-of-Recommended-Doses-of-Fertilizers-on-Soil-Test-Basis-by-Farmers-for-Wheat-and-Rice-in-Punjab.pdf,DAFW,PDF,Unknown,2014-15-Adoption-of-Recommended-Doses-of-Fertilize,https://desagri.gov.in/wp-content/uploads/2024/03/2014-15-Adoption-of-Recommended-Doses-of-Fertilizers-on-Soil-Test-Basis-by-Farmers-for-Wheat-and-Rice-in-Punjab.pdf,✅ (cached),pdfs
2014-15-An-Analysis-of-Resource-conservation-Technology-A-Case-of-Micro-Irrigation-System.pdf,DAFW,PDF,Unknown,2014-15-An-Analysis-of-Resource-conservation-Techn,https://desagri.gov.in/wp-content/uploads/2024/03/2014-15-An-Analysis-of-Resource-conservation-Technology-A-Case-of-Micro-Irrigation-System.pdf,✅ (cached),pdfs
2014-15-ASSESSMENT-OF-PRE-AND-POST-HARVEST-LOSSES-OF-IMPORTANT-CROPS-IN-INDIA.pdf,DAFW,PDF,Unknown,2014-15-ASSESSMENT-OF-PRE-AND-POST-HARVEST-LOSSES-,https://desagri.gov.in/wp-content/uploads/2024/03/2014-15-ASSESSMENT-OF-PRE-AND-POST-HARVEST-LOSSES-OF-IMPORTANT-CROPS-IN-INDIA.pdf,✅ (cached),pdfs
2014-15-EFFECT-OF-FARM-MECHANIZATION-ON-AGRICULTURAL-GROWTH-AND-LABOUR-AND-MACHINERY-IN-INDIA.pdf,DAFW,PDF,Unknown,2014-15-EFFECT-OF-FARM-MECHANIZATION-ON-AGRICULTUR,https://desagri.gov.in/wp-content/uploads/2024/04/2014-15-EFFECT-OF-FARM-MECHANIZATION-ON-AGRICULTURAL-GROWTH-AND-LABOUR-AND-MACHINERY-IN-INDIA.pdf,✅,pdfs
